area_code,area_name,period,indicator,measure,unit,value,group
E08000009,Trafford,2002,Gross Value Added,Value,£,172,"Agriculture, mining and utilities"
E08000009,Trafford,2002,Gross Value Added,Value,£,591,Manufacturing
E08000009,Trafford,2002,Gross Value Added,Value,£,331,Construction
E08000009,Trafford,2002,Gross Value Added,Value,£,1024,"Distribution, transport, accommodation and food"
E08000009,Trafford,2002,Gross Value Added,Value,£,323,Information and communication
E08000009,Trafford,2002,Gross Value Added,Value,£,172,Finance
E08000009,Trafford,2002,Gross Value Added,Value,£,904,Real estate
E08000009,Trafford,2002,Gross Value Added,Value,£,767,Professional and business support services
E08000009,Trafford,2002,Gross Value Added,Value,£,598,Public services
E08000009,Trafford,2002,Gross Value Added,Value,£,173,Recreation and other services
E08000009,Trafford,2002,Gross Value Added,Value,£,5054,All industries
E08000009,Trafford,2003,Gross Value Added,Value,£,185,"Agriculture, mining and utilities"
E08000009,Trafford,2003,Gross Value Added,Value,£,576,Manufacturing
E08000009,Trafford,2003,Gross Value Added,Value,£,334,Construction
E08000009,Trafford,2003,Gross Value Added,Value,£,1031,"Distribution, transport, accommodation and food"
E08000009,Trafford,2003,Gross Value Added,Value,£,402,Information and communication
E08000009,Trafford,2003,Gross Value Added,Value,£,191,Finance
E08000009,Trafford,2003,Gross Value Added,Value,£,937,Real estate
E08000009,Trafford,2003,Gross Value Added,Value,£,822,Professional and business support services
E08000009,Trafford,2003,Gross Value Added,Value,£,602,Public services
E08000009,Trafford,2003,Gross Value Added,Value,£,190,Recreation and other services
E08000009,Trafford,2003,Gross Value Added,Value,£,5269,All industries
E08000009,Trafford,2004,Gross Value Added,Value,£,180,"Agriculture, mining and utilities"
E08000009,Trafford,2004,Gross Value Added,Value,£,570,Manufacturing
E08000009,Trafford,2004,Gross Value Added,Value,£,398,Construction
E08000009,Trafford,2004,Gross Value Added,Value,£,1058,"Distribution, transport, accommodation and food"
E08000009,Trafford,2004,Gross Value Added,Value,£,429,Information and communication
E08000009,Trafford,2004,Gross Value Added,Value,£,251,Finance
E08000009,Trafford,2004,Gross Value Added,Value,£,893,Real estate
E08000009,Trafford,2004,Gross Value Added,Value,£,877,Professional and business support services
E08000009,Trafford,2004,Gross Value Added,Value,£,662,Public services
E08000009,Trafford,2004,Gross Value Added,Value,£,195,Recreation and other services
E08000009,Trafford,2004,Gross Value Added,Value,£,5512,All industries
E08000009,Trafford,2005,Gross Value Added,Value,£,173,"Agriculture, mining and utilities"
E08000009,Trafford,2005,Gross Value Added,Value,£,594,Manufacturing
E08000009,Trafford,2005,Gross Value Added,Value,£,436,Construction
E08000009,Trafford,2005,Gross Value Added,Value,£,1160,"Distribution, transport, accommodation and food"
E08000009,Trafford,2005,Gross Value Added,Value,£,414,Information and communication
E08000009,Trafford,2005,Gross Value Added,Value,£,300,Finance
E08000009,Trafford,2005,Gross Value Added,Value,£,889,Real estate
E08000009,Trafford,2005,Gross Value Added,Value,£,874,Professional and business support services
E08000009,Trafford,2005,Gross Value Added,Value,£,698,Public services
E08000009,Trafford,2005,Gross Value Added,Value,£,236,Recreation and other services
E08000009,Trafford,2005,Gross Value Added,Value,£,5774,All industries
E08000009,Trafford,2006,Gross Value Added,Value,£,185,"Agriculture, mining and utilities"
E08000009,Trafford,2006,Gross Value Added,Value,£,566,Manufacturing
E08000009,Trafford,2006,Gross Value Added,Value,£,436,Construction
E08000009,Trafford,2006,Gross Value Added,Value,£,1179,"Distribution, transport, accommodation and food"
E08000009,Trafford,2006,Gross Value Added,Value,£,459,Information and communication
E08000009,Trafford,2006,Gross Value Added,Value,£,321,Finance
E08000009,Trafford,2006,Gross Value Added,Value,£,912,Real estate
E08000009,Trafford,2006,Gross Value Added,Value,£,991,Professional and business support services
E08000009,Trafford,2006,Gross Value Added,Value,£,746,Public services
E08000009,Trafford,2006,Gross Value Added,Value,£,252,Recreation and other services
E08000009,Trafford,2006,Gross Value Added,Value,£,6046,All industries
E08000009,Trafford,2007,Gross Value Added,Value,£,200,"Agriculture, mining and utilities"
E08000009,Trafford,2007,Gross Value Added,Value,£,556,Manufacturing
E08000009,Trafford,2007,Gross Value Added,Value,£,500,Construction
E08000009,Trafford,2007,Gross Value Added,Value,£,1245,"Distribution, transport, accommodation and food"
E08000009,Trafford,2007,Gross Value Added,Value,£,491,Information and communication
E08000009,Trafford,2007,Gross Value Added,Value,£,351,Finance
E08000009,Trafford,2007,Gross Value Added,Value,£,894,Real estate
E08000009,Trafford,2007,Gross Value Added,Value,£,1003,Professional and business support services
E08000009,Trafford,2007,Gross Value Added,Value,£,818,Public services
E08000009,Trafford,2007,Gross Value Added,Value,£,251,Recreation and other services
E08000009,Trafford,2007,Gross Value Added,Value,£,6310,All industries
E08000009,Trafford,2008,Gross Value Added,Value,£,216,"Agriculture, mining and utilities"
E08000009,Trafford,2008,Gross Value Added,Value,£,605,Manufacturing
E08000009,Trafford,2008,Gross Value Added,Value,£,472,Construction
E08000009,Trafford,2008,Gross Value Added,Value,£,1230,"Distribution, transport, accommodation and food"
E08000009,Trafford,2008,Gross Value Added,Value,£,475,Information and communication
E08000009,Trafford,2008,Gross Value Added,Value,£,334,Finance
E08000009,Trafford,2008,Gross Value Added,Value,£,951,Real estate
E08000009,Trafford,2008,Gross Value Added,Value,£,1045,Professional and business support services
E08000009,Trafford,2008,Gross Value Added,Value,£,812,Public services
E08000009,Trafford,2008,Gross Value Added,Value,£,285,Recreation and other services
E08000009,Trafford,2008,Gross Value Added,Value,£,6427,All industries
E08000009,Trafford,2009,Gross Value Added,Value,£,222,"Agriculture, mining and utilities"
E08000009,Trafford,2009,Gross Value Added,Value,£,549,Manufacturing
E08000009,Trafford,2009,Gross Value Added,Value,£,416,Construction
E08000009,Trafford,2009,Gross Value Added,Value,£,1298,"Distribution, transport, accommodation and food"
E08000009,Trafford,2009,Gross Value Added,Value,£,479,Information and communication
E08000009,Trafford,2009,Gross Value Added,Value,£,362,Finance
E08000009,Trafford,2009,Gross Value Added,Value,£,955,Real estate
E08000009,Trafford,2009,Gross Value Added,Value,£,1068,Professional and business support services
E08000009,Trafford,2009,Gross Value Added,Value,£,833,Public services
E08000009,Trafford,2009,Gross Value Added,Value,£,280,Recreation and other services
E08000009,Trafford,2009,Gross Value Added,Value,£,6462,All industries
E08000009,Trafford,2010,Gross Value Added,Value,£,227,"Agriculture, mining and utilities"
E08000009,Trafford,2010,Gross Value Added,Value,£,546,Manufacturing
E08000009,Trafford,2010,Gross Value Added,Value,£,388,Construction
E08000009,Trafford,2010,Gross Value Added,Value,£,1442,"Distribution, transport, accommodation and food"
E08000009,Trafford,2010,Gross Value Added,Value,£,446,Information and communication
E08000009,Trafford,2010,Gross Value Added,Value,£,340,Finance
E08000009,Trafford,2010,Gross Value Added,Value,£,968,Real estate
E08000009,Trafford,2010,Gross Value Added,Value,£,1103,Professional and business support services
E08000009,Trafford,2010,Gross Value Added,Value,£,856,Public services
E08000009,Trafford,2010,Gross Value Added,Value,£,321,Recreation and other services
E08000009,Trafford,2010,Gross Value Added,Value,£,6637,All industries
E08000009,Trafford,2011,Gross Value Added,Value,£,214,"Agriculture, mining and utilities"
E08000009,Trafford,2011,Gross Value Added,Value,£,537,Manufacturing
E08000009,Trafford,2011,Gross Value Added,Value,£,375,Construction
E08000009,Trafford,2011,Gross Value Added,Value,£,1390,"Distribution, transport, accommodation and food"
E08000009,Trafford,2011,Gross Value Added,Value,£,492,Information and communication
E08000009,Trafford,2011,Gross Value Added,Value,£,333,Finance
E08000009,Trafford,2011,Gross Value Added,Value,£,995,Real estate
E08000009,Trafford,2011,Gross Value Added,Value,£,1201,Professional and business support services
E08000009,Trafford,2011,Gross Value Added,Value,£,833,Public services
E08000009,Trafford,2011,Gross Value Added,Value,£,313,Recreation and other services
E08000009,Trafford,2011,Gross Value Added,Value,£,6684,All industries
E08000009,Trafford,2012,Gross Value Added,Value,£,277,"Agriculture, mining and utilities"
E08000009,Trafford,2012,Gross Value Added,Value,£,525,Manufacturing
E08000009,Trafford,2012,Gross Value Added,Value,£,400,Construction
E08000009,Trafford,2012,Gross Value Added,Value,£,1371,"Distribution, transport, accommodation and food"
E08000009,Trafford,2012,Gross Value Added,Value,£,433,Information and communication
E08000009,Trafford,2012,Gross Value Added,Value,£,357,Finance
E08000009,Trafford,2012,Gross Value Added,Value,£,1089,Real estate
E08000009,Trafford,2012,Gross Value Added,Value,£,1293,Professional and business support services
E08000009,Trafford,2012,Gross Value Added,Value,£,819,Public services
E08000009,Trafford,2012,Gross Value Added,Value,£,303,Recreation and other services
E08000009,Trafford,2012,Gross Value Added,Value,£,6868,All industries
E08000009,Trafford,2013,Gross Value Added,Value,£,277,"Agriculture, mining and utilities"
E08000009,Trafford,2013,Gross Value Added,Value,£,533,Manufacturing
E08000009,Trafford,2013,Gross Value Added,Value,£,393,Construction
E08000009,Trafford,2013,Gross Value Added,Value,£,1549,"Distribution, transport, accommodation and food"
E08000009,Trafford,2013,Gross Value Added,Value,£,461,Information and communication
E08000009,Trafford,2013,Gross Value Added,Value,£,442,Finance
E08000009,Trafford,2013,Gross Value Added,Value,£,1107,Real estate
E08000009,Trafford,2013,Gross Value Added,Value,£,1421,Professional and business support services
E08000009,Trafford,2013,Gross Value Added,Value,£,848,Public services
E08000009,Trafford,2013,Gross Value Added,Value,£,302,Recreation and other services
E08000009,Trafford,2013,Gross Value Added,Value,£,7333,All industries
E08000009,Trafford,2014,Gross Value Added,Value,£,246,"Agriculture, mining and utilities"
E08000009,Trafford,2014,Gross Value Added,Value,£,640,Manufacturing
E08000009,Trafford,2014,Gross Value Added,Value,£,370,Construction
E08000009,Trafford,2014,Gross Value Added,Value,£,1401,"Distribution, transport, accommodation and food"
E08000009,Trafford,2014,Gross Value Added,Value,£,453,Information and communication
E08000009,Trafford,2014,Gross Value Added,Value,£,449,Finance
E08000009,Trafford,2014,Gross Value Added,Value,£,1130,Real estate
E08000009,Trafford,2014,Gross Value Added,Value,£,1452,Professional and business support services
E08000009,Trafford,2014,Gross Value Added,Value,£,919,Public services
E08000009,Trafford,2014,Gross Value Added,Value,£,451,Recreation and other services
E08000009,Trafford,2014,Gross Value Added,Value,£,7512,All industries
E08000009,Trafford,2015,Gross Value Added,Value,£,240,"Agriculture, mining and utilities"
E08000009,Trafford,2015,Gross Value Added,Value,£,716,Manufacturing
E08000009,Trafford,2015,Gross Value Added,Value,£,418,Construction
E08000009,Trafford,2015,Gross Value Added,Value,£,1474,"Distribution, transport, accommodation and food"
E08000009,Trafford,2015,Gross Value Added,Value,£,446,Information and communication
E08000009,Trafford,2015,Gross Value Added,Value,£,407,Finance
E08000009,Trafford,2015,Gross Value Added,Value,£,1263,Real estate
E08000009,Trafford,2015,Gross Value Added,Value,£,1529,Professional and business support services
E08000009,Trafford,2015,Gross Value Added,Value,£,931,Public services
E08000009,Trafford,2015,Gross Value Added,Value,£,466,Recreation and other services
E08000009,Trafford,2015,Gross Value Added,Value,£,7889,All industries
E08000009,Trafford,2016,Gross Value Added,Value,£,231,"Agriculture, mining and utilities"
E08000009,Trafford,2016,Gross Value Added,Value,£,756,Manufacturing
E08000009,Trafford,2016,Gross Value Added,Value,£,481,Construction
E08000009,Trafford,2016,Gross Value Added,Value,£,1587,"Distribution, transport, accommodation and food"
E08000009,Trafford,2016,Gross Value Added,Value,£,442,Information and communication
E08000009,Trafford,2016,Gross Value Added,Value,£,434,Finance
E08000009,Trafford,2016,Gross Value Added,Value,£,1281,Real estate
E08000009,Trafford,2016,Gross Value Added,Value,£,1480,Professional and business support services
E08000009,Trafford,2016,Gross Value Added,Value,£,966,Public services
E08000009,Trafford,2016,Gross Value Added,Value,£,453,Recreation and other services
E08000009,Trafford,2016,Gross Value Added,Value,£,8112,All industries
